Event_ID,Timestamp,Vehicle_Type,Speed_kmh,Latitude,Longitude,Event_Type,Severity,Traffic_Density
83,2024-06-23 02:30:46,Bus,84,51.146889,71.505901,Normal,Low,86.21
84,2024-06-23 04:16:49,Truck,50,51.122776,71.400585,Normal,Low,70.42
85,2024-06-23 04:20:21,Motorcycle,65,51.148164,71.530934,Normal,Low,74.91
86,2024-06-23 04:21:42,Bicycle,111,51.143758,71.491802,Normal,Low,77.79
87,2024-06-23 04:30:26,Bicycle,4,51.100131,71.396405,Normal,Low,75.23
88,2024-06-23 04:38:57,Bus,71,51.116777,71.519809,Normal,Low,76.3
89,2024-06-23 05:15:49,Car,88,51.124493,71.470191,Normal,Low,71.72
90,2024-06-23 05:46:34,Truck,50,51.192067,71.404674,Normal,Low,66.55
91,2024-06-23 05:52:43,Bus,15,51.130048,71.433185,Normal,Low,59.28
92,2024-06-23 07:20:13,Bus,120,51.147199,71.412122,Normal,Low,53.64
93,2024-06-23 07:35:39,Truck,31,51.171658,71.405403,Normal,Low,58.57
94,2024-06-23 07:41:18,Motorcycle,3,51.146017,71.561753,Accident,High,80.36
95,2024-06-23 07:57:58,Truck,93,51.162191,71.410084,Normal,Low,56.0
96,2024-06-23 08:03:16,Motorcycle,50,51.103463,71.454731,Normal,Low,60.57
97,2024-06-23 08:05:51,Truck,77,51.150582,71.532135,Normal,Low,59.73
98,2024-06-23 08:11:52,Car,60,51.133011,71.436369,Normal,Low,55.52
99,2024-06-23 08:21:07,Truck,69,51.194038,71.399603,Normal,Low,57.6
100,2024-06-23 08:23:02,Truck,4,51.167546,71.439744,Normal,Low,54.42
101,2024-06-23 08:36:23,Bicycle,38,51.130209,71.393226,Normal,Low,58.18
102,2024-06-23 08:39:33,Car,32,51.1045,71.455905,Normal,Low,63.41
103,2024-06-23 08:49:52,Truck,111,51.164346,71.448096,Normal,Low,59.33
104,2024-06-23 08:55:17,Car,1,51.123662,71.426724,Sudden De-celeration,Medium,70.73
105,2024-06-23 09:04:58,Bicycle,61,51.083138,71.478531,Normal,Low,65.21
106,2024-06-23 09:16:31,Motorcycle,23,51.097356,71.413517,Normal,Low,62.71
107,2024-06-23 09:20:01,Bicycle,21,51.103958,71.454988,Normal,Low,62.68
108,2024-06-23 09:22:13,Truck,40,51.161834,71.482725,Normal,Low,58.48
109,2024-06-23 09:22:53,Car,14,51.139884,71.433016,Normal,Low,62.2
110,2024-06-23 09:28:31,Motorcycle,51,51.137717,71.470406,Normal,Low,66.62
111,2024-06-23 09:34:55,Truck,4,51.148271,71.447068,Normal,Low,63.54
112,2024-06-23 09:35:54,Motorcycle,103,51.13397,71.434833,Normal,Low,59.34
113,2024-06-23 09:37:05,Motorcycle,58,51.177138,71.410704,Normal,Low,66.7
114,2024-06-23 09:37:58,Motorcycle,30,51.150697,71.426725,Normal,Low,63.99
115,2024-06-23 09:46:21,Truck,108,51.147366,71.421836,Normal,Low,65.12
116,2024-06-23 10:13:31,Bus,87,51.110694,71.55872,Congestion,High,125.58
117,2024-06-23 10:23:17,Bicycle,40,51.093982,71.498327,Normal,Low,60.48
118,2024-06-23 13:16:25,Motorcycle,95,51.151991,71.540843,Normal,Low,61.29
119,2024-06-23 13:26:43,Bus,26,51.123484,71.403243,Normal,Low,55.97
120,2024-06-23 13:39:19,Bus,62,51.09829,71.41743,Normal,Low,51.81
121,2024-06-23 13:46:52,Motorcycle,74,51.149897,71.531931,Normal,Low,53.23
122,2024-06-23 14:12:31,Truck,25,51.164364,71.458183,Normal,Low,45.76
123,2024-06-23 14:19:03,Bus,69,51.136928,71.535823,Normal,Low,46.58
124,2024-06-23 14:45:37,Motorcycle,74,51.127321,71.5745,Normal,Low,38.33
125,2024-06-23 14:58:15,Bicycle,70,51.104555,71.440493,Normal,Low,43.52
126,2024-06-23 15:03:17,Truck,111,51.166213,71.47619,Normal,Low,42.95
127,2024-06-23 15:14:52,Truck,113,51.149188,71.422125,Normal,Low,32.25
128,2024-06-23 15:24:44,Motorcycle,37,51.175508,71.477558,Normal,Low,36.05
129,2024-06-23 15:47:39,Bicycle,19,51.181481,71.441015,Normal,Low,26.87
130,2024-06-23 17:00:22,Truck,89,51.125277,71.484249,Normal,Low,7.64
131,2024-06-23 17:01:52,Bicycle,69,51.124181,71.421833,Normal,Low,14.33
132,2024-06-23 17:03:23,Bus,97,51.130287,71.379505,Normal,Low,14.87
133,2024-06-23 17:07:20,Car,31,51.170248,71.437336,Sudden De-celeration,Low,34.17
134,2024-06-23 17:08:28,Truck,17,51.108551,71.462256,Normal,Low,11.36
135,2024-06-23 17:08:34,Car,83,51.124732,71.499958,Normal,Low,6.21
136,2024-06-23 17:18:57,Bicycle,11,51.1328,71.47165,Normal,Low,6.18
137,2024-06-23 17:23:02,Bus,80,51.177781,71.418091,Normal,Low,3.24
138,2024-06-23 17:35:27,Car,43,51.130237,71.452822,Normal,Low,6.58
139,2024-06-23 17:50:23,Bus,46,51.14963,71.409822,Sudden De-celeration,Low,32.21
140,2024-06-23 17:58:16,Motorcycle,59,51.149931,71.549572,Normal,Low,6.79
141,2024-06-23 18:02:58,Car,54,51.117215,71.403632,Normal,Low,9.09
142,2024-06-23 18:06:31,Bus,58,51.170847,71.441261,Normal,Low,0.99
143,2024-06-23 18:07:56,Truck,41,51.145794,71.389589,Normal,Low,4.22
144,2024-06-23 18:14:10,Truck,86,51.136809,71.491754,Normal,Low,5.99
145,2024-06-23 18:17:46,Bus,105,51.163363,71.440982,Normal,Low,8.48
146,2024-06-23 18:17:47,Bus,63,51.148796,71.44467,Normal,Low,4.36
147,2024-06-23 18:28:45,Truck,95,51.152232,71.510151,Normal,Low,3.36
148,2024-06-23 18:53:40,Motorcycle,65,51.17495,71.402121,Normal,Low,3.03
149,2024-06-23 18:54:21,Car,1,51.169287,71.514621,Normal,Low,1.75
150,2024-06-23 19:19:32,Bus,8,51.176235,71.414503,Normal,Low,4.33
151,2024-06-23 19:57:42,Bus,47,51.115581,71.497245,Accident,Low,36.98
152,2024-06-23 20:02:05,Car,62,51.135287,71.472227,Sudden De-celeration,Low,24.67
153,2024-06-23 20:15:28,Motorcycle,60,51.203062,71.370849,Congestion,High,86.03
154,2024-06-23 21:48:11,Bus,38,51.160978,71.467864,Normal,Low,28.36
155,2024-06-23 22:15:06,Motorcycle,17,51.101119,71.452753,Normal,Low,41.75
156,2024-06-23 23:20:33,Motorcycle,27,51.149839,71.412548,Normal,Low,56.99
157,2024-06-24 00:04:16,Bus,120,51.131578,71.4444,Normal,Low,68.91
158,2024-06-24 00:15:11,Bicycle,102,51.178433,71.386334,Normal,Low,74.85
159,2024-06-24 00:23:33,Motorcycle,9,51.148945,71.465524,Sudden De-celeration,High,100.45
160,2024-06-24 00:43:04,Truck,63,51.154439,71.579531,Normal,Low,75.15
161,2024-06-24 00:52:38,Truck,45,51.201521,71.386597,Normal,Low,81.21
162,2024-06-24 00:55:23,Car,23,51.184778,71.353321,Normal,Low,72.73
163,2024-06-24 01:01:10,Motorcycle,73,51.132313,71.436679,Normal,Low,77.27
164,2024-06-24 01:20:58,Bicycle,51,51.177904,71.438315,Normal,Low,81.98
165,2024-06-24 01:25:13,Motorcycle,39,51.199542,71.389672,Normal,Low,84.2
166,2024-06-24 01:48:30,Bicycle,72,51.146324,71.377914,Normal,Low,77.45
167,2024-06-24 02:10:48,Bus,17,51.139499,71.433212,Normal,Low,80.24
168,2024-06-24 02:17:18,Motorcycle,90,51.139311,71.477853,Sudden De-celeration,High,117.85
169,2024-06-24 03:38:00,Truck,25,51.130771,71.439844,Normal,Low,76.15
170,2024-06-24 04:16:02,Car,12,51.141211,71.418872,Normal,Low,71.25
171,2024-06-24 04:29:54,Bus,35,51.164909,71.506223,Normal,Low,78.22
172,2024-06-24 05:25:13,Truck,44,51.173571,71.417975,Normal,Low,65.7
173,2024-06-24 06:20:25,Bus,61,51.166474,71.442966,Accident,High,107.11
174,2024-06-24 06:39:20,Motorcycle,83,51.120067,71.466114,Normal,Low,62.83
175,2024-06-24 07:50:55,Motorcycle,111,51.166176,71.444794,Normal,Low,58.11
176,2024-06-24 08:02:48,Bus,95,51.115402,71.430156,Congestion,High,149.38
177,2024-06-24 08:18:59,Bicycle,31,51.130787,71.430298,Normal,Low,57.14
178,2024-06-24 08:19:21,Motorcycle,84,51.086481,71.417747,Normal,Low,63.48
179,2024-06-24 08:20:08,Motorcycle,54,51.115215,71.497866,Normal,Low,59.29
180,2024-06-24 08:20:13,Car,61,51.112623,71.51432,Normal,Low,59.96
181,2024-06-24 08:29:17,Car,30,51.123788,71.468647,Normal,Low,54.94
182,2024-06-24 08:47:00,Bus,76,51.201569,71.386593,Normal,Low,61.54
183,2024-06-24 08:52:35,Bus,57,51.197197,71.39707,Normal,Low,62.87
184,2024-06-24 08:57:17,Motorcycle,92,51.130078,71.439556,Normal,Low,64.57
185,2024-06-24 09:02:03,Motorcycle,8,51.162945,71.447956,Congestion,High,149.03
186,2024-06-24 09:03:47,Car,53,51.151246,71.5127,Normal,Low,63.67
187,2024-06-24 09:10:41,Motorcycle,59,51.198862,71.391867,Normal,Low,56.92
188,2024-06-24 09:13:28,Car,28,51.142534,71.41059,Normal,Low,58.15
189,2024-06-24 09:24:51,Motorcycle,25,51.135897,71.481487,Normal,Low,63.66
190,2024-06-24 09:27:02,Bus,4,51.087645,71.434353,Congestion,High,154.5
191,2024-06-24 09:34:18,Bus,2,51.129553,71.507616,Normal,Low,59.81
192,2024-06-24 09:43:29,Motorcycle,49,51.197413,71.417066,Normal,Low,62.39
193,2024-06-24 09:47:29,Bicycle,69,51.122695,71.481486,Normal,Low,58.65
194,2024-06-24 09:49:39,Bicycle,48,51.202406,71.38195,Accident,High,121.27
195,2024-06-24 11:09:27,Bicycle,35,51.164916,71.541042,Normal,Low,69.92
196,2024-06-24 11:24:04,Car,111,51.134171,71.434924,Normal,Low,70.02
197,2024-06-24 11:28:53,Bus,108,51.172317,71.406317,Normal,Low,69.48
198,2024-06-24 12:16:49,Bus,90,51.143748,71.527955,Normal,Low,64.23
199,2024-06-24 12:56:26,Truck,48,51.128568,71.459986,Normal,Low,62.25
200,2024-06-24 13:15:12,Bicycle,74,51.095719,71.470093,Normal,Low,56.72
201,2024-06-24 13:15:50,Bicycle,52,51.13404,71.430343,Normal,Low,58.5
202,2024-06-24 14:14:53,Bicycle,18,51.137585,71.521764,Normal,Low,50.85
203,2024-06-24 14:23:49,Bus,14,51.086847,71.440163,Normal,Low,50.24
204,2024-06-24 14:28:28,Car,40,51.162053,71.400839,Normal,Low,50.49
205,2024-06-24 14:42:25,Truck,46,51.131532,71.364102,Normal,Low,45.96
206,2024-06-24 15:05:32,Truck,96,51.156072,71.411907,Normal,Low,33.75
207,2024-06-24 15:30:49,Car,84,51.159038,71.4923,Normal,Low,32.39
208,2024-06-24 16:07:09,Motorcycle,45,51.186907,71.401137,Normal,Low,27.45
209,2024-06-24 16:10:32,Bus,105,51.101043,71.434254,Normal,Low,22.0
210,2024-06-24 16:43:27,Truck,14,51.116293,71.57457,Sudden De-celeration,Medium,55.14
211,2024-06-24 16:53:13,Motorcycle,57,51.14823,71.382318,Accident,Medium,67.14
212,2024-06-24 17:05:53,Bus,80,51.140523,71.444512,Normal,Low,12.32
213,2024-06-24 17:06:59,Bicycle,118,51.111888,71.440023,Normal,Low,11.17
214,2024-06-24 17:09:28,Motorcycle,33,51.096834,71.448466,Congestion,High,89.56
215,2024-06-24 17:11:40,Bicycle,74,51.100011,71.461695,Normal,Low,10.06
216,2024-06-24 17:11:55,Truck,12,51.163331,71.432703,Normal,Low,9.19
217,2024-06-24 17:28:33,Bicycle,0,51.13273,71.437962,Normal,Low,3.27
218,2024-06-24 17:29:48,Bus,30,51.145266,71.527908,Normal,Low,3.2
219,2024-06-24 17:55:14,Truck,62,51.180069,71.333398,Normal,Low,2.78
220,2024-06-24 18:05:51,Bus,113,51.142142,71.387407,Normal,Low,2.17
221,2024-06-24 18:07:49,Bus,102,51.200333,71.3498,Normal,Low,0.96
222,2024-06-24 18:08:47,Bicycle,33,51.127903,71.470695,Normal,Low,7.04
223,2024-06-24 18:28:15,Bus,50,51.136636,71.413709,Normal,Low,3.18
224,2024-06-24 18:51:03,Motorcycle,80,51.090492,71.40335,Normal,Low,3.65
225,2024-06-24 19:32:40,Bus,31,51.142992,71.37154,Normal,Low,9.56
226,2024-06-24 19:40:58,Truck,41,51.095303,71.448609,Normal,Low,2.75
227,2024-06-24 20:12:22,Bicycle,95,51.135481,71.421958,Normal,Low,10.37
228,2024-06-24 20:15:49,Bus,6,51.143095,71.431368,Normal,Low,13.26
229,2024-06-24 20:24:47,Bus,71,51.134426,71.435039,Normal,Low,13.78
230,2024-06-24 20:33:58,Truck,104,51.120554,71.473992,Normal,Low,8.57
231,2024-06-24 20:40:14,Bicycle,26,51.152175,71.412506,Normal,Low,11.88
232,2024-06-24 21:01:26,Bus,61,51.153115,71.501467,Normal,Low,14.51
233,2024-06-24 21:34:27,Bus,9,51.144716,71.494797,Normal,Low,24.87
234,2024-06-24 21:51:25,Bus,103,51.146276,71.390185,Accident,High,78.69
235,2024-06-24 22:01:20,Bus,107,51.169619,71.376162,Normal,Low,34.0
236,2024-06-24 22:30:33,Bus,48,51.202745,71.41093,Normal,Low,38.96
237,2024-06-24 22:50:24,Bus,65,51.133096,71.440294,Normal,Low,47.79
238,2024-06-24 23:28:24,Motorcycle,50,51.125116,71.539796,Normal,Low,60.71
239,2024-06-24 23:41:08,Truck,56,51.084955,71.43898,Congestion,High,116.44
240,2024-06-24 23:45:14,Truck,92,51.106007,71.458528,Normal,Low,60.75
241,2024-06-25 00:06:29,Bus,13,51.179597,71.360837,Normal,Low,70.5
242,2024-06-25 00:09:16,Bicycle,23,51.196329,71.330528,Accident,High,99.24
243,2024-06-25 00:14:57,Car,56,51.171433,71.397805,Normal,Low,72.7
244,2024-06-25 01:38:24,Bus,43,51.148784,71.448495,Accident,High,113.02
245,2024-06-25 01:57:33,Bicycle,111,51.131198,71.413998,Normal,Low,86.44
246,2024-06-25 02:04:13,Car,41,51.150192,71.425816,Normal,Low,83.91
247,2024-06-25 02:17:58,Bus,105,51.089298,71.438076,Normal,Low,80.87
248,2024-06-25 02:21:33,Bicycle,81,51.100536,71.452799,Normal,Low,79.22
249,2024-06-25 03:05:23,Bus,42,51.151132,71.419392,Normal,Low,77.17
250,2024-06-25 03:14:15,Truck,28,51.151464,71.481265,Normal,Low,78.02
251,2024-06-25 03:35:39,Truck,93,51.145504,71.444897,Normal,Low,82.17
252,2024-06-25 03:47:21,Car,47,51.150303,71.547993,Normal,Low,75.01
253,2024-06-25 03:49:11,Bus,64,51.1967,71.390937,Normal,Low,79.98
254,2024-06-25 04:16:33,Car,34,51.150029,71.425791,Normal,Low,74.16
255,2024-06-25 04:49:36,Bicycle,51,51.163277,71.365065,Normal,Low,73.83
256,2024-06-25 04:51:47,Motorcycle,26,51.16095,71.36,Normal,Low,70.35
257,2024-06-25 05:41:27,Bus,82,51.140818,71.444848,Normal,Low,63.28
258,2024-06-25 06:46:07,Bus,59,51.153042,71.37088,Normal,Low,58.76
259,2024-06-25 07:02:02,Truck,18,51.169025,71.40812,Normal,Low,63.66
260,2024-06-25 07:26:35,Truck,28,51.105594,71.432966,Normal,Low,53.89
261,2024-06-25 07:31:21,Bus,7,51.122214,71.434684,Normal,Low,53.76
262,2024-06-25 08:12:20,Motorcycle,83,51.165631,71.428234,Normal,Low,59.27
263,2024-06-25 08:20:08,Bus,48,51.160975,71.458588,Normal,Low,62.08
264,2024-06-25 08:28:36,Car,61,51.108019,71.431535,Normal,Low,55.17
265,2024-06-25 08:30:53,Bicycle,37,51.177807,71.438292,Accident,High,119.02
266,2024-06-25 08:34:23,Bus,29,51.155961,71.45251,Normal,Low,58.07
267,2024-06-25 08:34:45,Bus,102,51.188317,71.449636,Normal,Low,57.87
268,2024-06-25 08:36:35,Bicycle,108,51.152795,71.416874,Normal,Low,62.37
269,2024-06-25 08:39:54,Motorcycle,43,51.163286,71.432298,Normal,Low,59.09
270,2024-06-25 08:47:21,Motorcycle,82,51.133278,71.477977,Normal,Low,59.57
271,2024-06-25 08:49:39,Truck,21,51.131794,71.443936,Normal,Low,56.77
272,2024-06-25 08:50:12,Car,10,51.167319,71.4086,Normal,Low,63.45
273,2024-06-25 08:59:02,Car,34,51.112694,71.410703,Normal,Low,58.11
274,2024-06-25 09:05:55,Car,8,51.116904,71.40587,Normal,Low,56.96
275,2024-06-25 09:13:25,Car,116,51.094314,71.444237,Normal,Low,61.46
276,2024-06-25 09:14:18,Car,70,51.160535,71.412201,Normal,Low,57.45
277,2024-06-25 09:16:29,Bicycle,28,51.137118,71.416232,Normal,Low,59.23
278,2024-06-25 09:35:15,Car,1,51.14371,71.527918,Normal,Low,63.12
279,2024-06-25 09:36:09,Bicycle,112,51.160321,71.406775,Normal,Low,62.59
280,2024-06-25 09:41:28,Truck,90,51.18082,71.377033,Normal,Low,61.76
281,2024-06-25 09:57:49,Bus,22,51.166912,71.440059,Normal,Low,66.4
282,2024-06-25 10:10:17,Bicycle,114,51.118002,71.461456,Normal,Low,69.24
283,2024-06-25 10:41:41,Truck,16,51.188044,71.45235,Normal,Low,69.88
284,2024-06-25 11:10:44,Bicycle,20,51.143287,71.486963,Normal,Low,70.21
285,2024-06-25 11:17:43,Motorcycle,36,51.167959,71.422759,Normal,Low,72.28
286,2024-06-25 12:02:15,Truck,114,51.179516,71.381376,Normal,Low,63.13
287,2024-06-25 13:02:38,Bus,15,51.144582,71.411377,Normal,Low,58.25
288,2024-06-25 14:08:56,Motorcycle,112,51.191279,71.422388,Normal,Low,51.45
289,2024-06-25 14:51:04,Bicycle,27,51.179322,71.398445,Normal,Low,41.52
290,2024-06-25 14:59:30,Truck,60,51.147769,71.456449,Normal,Low,40.0
291,2024-06-25 15:16:19,Truck,23,51.144979,71.485927,Normal,Low,31.74
292,2024-06-25 15:59:07,Car,33,51.179335,71.335427,Normal,Low,29.84
293,2024-06-25 16:22:54,Bus,18,51.165683,71.533488,Normal,Low,16.27
294,2024-06-25 16:31:41,Car,19,51.197272,71.419132,Normal,Low,18.3
295,2024-06-25 16:59:23,Bicycle,0,51.136314,71.557964,Normal,Low,8.1
296,2024-06-25 17:04:52,Bicycle,10,51.112099,71.438302,Normal,Low,14.3
297,2024-06-25 17:23:50,Bicycle,61,51.118216,71.459163,Normal,Low,7.83
298,2024-06-25 17:38:00,Bicycle,49,51.14027,71.499193,Normal,Low,0.86
299,2024-06-25 17:46:01,Bus,37,51.130673,71.484939,Normal,Low,8.81
300,2024-06-25 17:59:15,Car,111,51.136983,71.472623,Normal,Low,6.7
301,2024-06-25 18:04:25,Truck,106,51.155722,71.452327,Normal,Low,5.85
302,2024-06-25 18:05:21,Truck,104,51.144418,71.411314,Normal,Low,4.17
303,2024-06-25 18:05:53,Truck,46,51.133125,71.511996,Normal,Low,8.7
304,2024-06-25 18:12:38,Motorcycle,54,51.199533,71.389701,Normal,Low,7.78
305,2024-06-25 18:13:52,Truck,40,51.167645,71.444394,Normal,Low,5.82
306,2024-06-25 18:27:56,Motorcycle,88,51.152953,71.535101,Normal,Low,7.33
307,2024-06-25 19:18:20,Motorcycle,62,51.12963,71.497038,Accident,Low,29.25
308,2024-06-25 20:22:19,Motorcycle,54,51.119826,71.459224,Normal,Low,5.06
309,2024-06-25 20:31:32,Car,19,51.100144,71.435611,Sudden De-celeration,Medium,45.41
310,2024-06-25 20:46:11,Bicycle,19,51.1693,71.44303,Normal,Low,15.88
311,2024-06-25 20:51:03,Bicycle,15,51.153302,71.430179,Normal,Low,12.78
312,2024-06-25 21:18:05,Bicycle,76,51.126938,71.404591,Normal,Low,22.04
313,2024-06-25 21:21:03,Bicycle,41,51.197961,71.339221,Normal,Low,23.67
314,2024-06-25 21:34:39,Bicycle,94,51.114447,71.433807,Normal,Low,23.03
315,2024-06-25 21:35:11,Car,34,51.148371,71.501953,Normal,Low,27.03
316,2024-06-25 22:18:21,Bus,91,51.12306,71.430807,Accident,High,80.3
317,2024-06-25 23:21:54,Bicycle,103,51.177659,71.389303,Normal,Low,52.42
318,2024-06-26 00:46:57,Motorcycle,59,51.103559,71.429511,Normal,Low,74.46
319,2024-06-26 00:47:10,Truck,24,51.128581,71.438967,Normal,Low,71.39
320,2024-06-26 00:54:50,Bus,31,51.093854,71.439156,Normal,Low,76.18
321,2024-06-26 00:59:30,Motorcycle,18,51.135131,71.441523,Normal,Low,78.17
322,2024-06-26 01:05:37,Bicycle,119,51.121387,71.439937,Normal,Low,78.74
323,2024-06-26 02:10:07,Motorcycle,92,51.169277,71.426371,Normal,Low,81.66
